player,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aaron Mooy,MF,Australia,32-091,1990,4.0,1,0,0,4,1,0,10,3,6,0,0,0,35,2,3,40.0
Aaron Ramsey,MF,Wales,31-354,1990,3.0,1,0,0,3,3,0,5,0,0,0,0,0,19,0,2,0.0
Abdelhamid Sabiri,MF,Morocco,26-017,1996,1.5,1,0,0,2,1,0,1,5,0,0,0,0,5,2,1,66.7
Abdelkarim Hassan,DF,Qatar,29-109,1993,3.0,0,0,0,1,4,1,6,1,3,0,0,0,11,3,1,75.0
Abderrazak Hamdallah,FW,Morocco,31-363,1990,0.8,0,0,0,3,2,0,0,0,0,0,0,0,4,1,7,12.5
Abdessamad Ezzalzouli,FW,Morocco,20-363,2001,1.0,0,0,0,4,0,0,1,0,2,0,0,0,4,1,2,33.3
Abdou Diallo,DF,Senegal,26-225,1996,3.7,0,0,0,3,0,0,3,1,2,0,0,0,17,7,6,53.8
Abdul Fatawu Issahaku,FW,Ghana,18-282,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abdulaziz Hatem,MF,Qatar,32-048,1990,2.2,0,0,0,4,1,0,1,1,1,0,0,0,4,1,2,33.3
Abdulelah Al-Amri,DF,Saudi Arabia,25-334,1997,2.0,2,0,0,3,3,0,1,4,0,0,0,0,15,10,4,71.4
Abdulellah Al-Malki,MF,Saudi Arabia,28-065,1994,1.9,2,0,0,8,4,0,1,2,1,0,0,0,9,0,1,0.0
Abdullah Madu,DF,Saudi Arabia,29-153,1993,0.5,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-197,1995,0.4,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,50.0
Abolfazl Jalali,DF,IR Iran,24-172,1998,0.2,1,0,0,1,4,0,2,0,0,0,0,0,3,0,0,
Achraf Dari,DF,Morocco,23-223,1999,1.4,1,0,0,2,0,0,0,4,0,0,0,0,8,4,5,44.4
Achraf Hakimi,DF,Morocco,24-041,1998,6.0,0,0,0,5,12,0,9,8,14,0,0,0,38,5,6,45.5
Adrien Rabiot,MF,France,27-256,1995,4.3,0,0,0,7,1,0,6,7,8,0,0,0,23,13,8,61.9
Agustín Canobbio,MF,Uruguay,24-075,1998,0.1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0.0
Ahmad Nourollahi,MF,IR Iran,29-316,1993,2.5,0,0,0,2,0,0,3,6,3,0,0,0,15,1,0,100.0
Ahmed Alaaeldin,FW,Qatar,29-318,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aimen Dahmen,GK,Tunisia,25-321,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ajdin Hrustic,MF,Australia,26-163,1996,0.7,0,0,0,1,2,0,1,1,0,0,0,0,3,0,2,0.0
Akram Afif,FW,Qatar,26-027,1996,3.0,1,0,0,2,6,1,13,0,0,0,0,0,14,1,1,50.0
Alan Franco,MF,Ecuador,24-116,1998,0.5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0
Alejandro Balde,DF,Spain,19-058,2003,1.4,0,0,0,2,1,0,2,0,6,0,0,0,10,0,2,0.0
Aleksandar Mitrović,FW,Serbia,28-090,1994,2.9,1,0,0,3,1,1,1,0,0,0,0,0,6,5,12,29.4
Alex Sandro,DF,Brazil,31-323,1991,2.1,0,0,0,3,2,0,4,3,3,0,0,0,16,3,1,75.0
Alex Telles,DF,Brazil,30-000,1992,0.7,0,0,0,1,0,0,3,0,2,0,0,0,1,1,1,50.0
Alexander Bah,DF,Denmark,25-006,1997,0.5,0,0,0,1,0,0,4,2,4,0,0,0,3,4,0,100.0
Alexander Djiku,DF,Ghana,28-128,1994,1.1,0,0,0,0,2,0,0,2,1,0,0,0,3,2,0,100.0
Alexis Mac Allister,MF,Argentina,23-356,1998,4.8,0,0,0,1,10,0,1,3,4,0,0,0,32,3,8,27.3
Alexis Vega,FW,Mexico,25-020,1997,2.1,0,0,0,2,6,4,6,1,0,0,0,0,16,1,5,16.7
Ali Abdi,DF,Tunisia,28-360,1993,2.1,1,0,0,5,0,1,5,4,5,0,0,0,17,9,5,64.3
Ali Al Hassan,MF,Saudi Arabia,25-286,1997,0.5,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,
Ali Al-Bulaihi,DF,Saudi Arabia,33-024,1989,2.4,1,0,0,1,1,0,0,3,2,0,0,0,5,3,3,50.0
Ali Assadalla,MF,Qatar,29-330,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ali Gholizadeh,MF,IR Iran,26-280,1996,2.2,0,0,0,3,1,2,4,3,0,0,0,0,21,0,1,0.0
Ali Karimi,MF,IR Iran,28-307,1994,1.1,0,0,0,4,1,0,2,3,3,0,0,0,6,3,2,60.0
Ali Maâloul,DF,Tunisia,32-348,1990,1.0,0,0,0,0,0,0,13,0,1,0,0,0,5,0,1,0.0
Alidu Seidu,DF,Ghana,22-194,2000,1.7,2,0,0,5,5,0,6,0,4,0,0,0,6,1,0,100.0
Alireza Beiranvand,GK,IR Iran,30-085,1992,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alireza Jahanbakhsh,MF,IR Iran,29-126,1993,0.7,2,0,0,2,0,0,1,1,1,0,0,0,1,0,3,0.0
Alisson,GK,Brazil,30-074,1992,4.2,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0
Alistair Johnston,DF,Canada,24-068,1998,3.0,1,0,0,5,3,0,8,2,3,0,0,0,16,4,2,66.7
Almoez Ali,FW,Qatar,26-118,1996,2.5,1,0,0,2,2,3,0,1,0,0,0,0,6,2,9,18.2
Alphonso Davies,MF,Canada,22-043,2000,3.0,1,0,0,4,4,1,10,3,1,0,0,0,14,3,2,60.0
Amadou Onana,MF,Belgium,21-121,2001,1.2,2,0,0,4,3,0,0,0,1,0,0,0,7,2,0,100.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-029,1995,2.9,0,0,0,6,4,0,2,5,0,0,0,0,16,4,0,100.0
Andreas Christensen,DF,Denmark,26-249,1996,3.0,1,0,0,2,1,1,0,4,2,0,0,0,20,6,4,60.0
Andreas Cornelius,FW,Denmark,29-274,1993,1.0,1,0,0,4,2,0,1,0,0,0,0,0,2,11,8,57.9
Andreas Skov Olsen,FW,Denmark,22-351,1999,1.5,0,0,0,2,1,0,4,1,0,0,0,0,3,1,2,33.3
Andrej Kramarić,FW,Croatia,31-179,1991,4.6,0,0,0,1,3,2,5,0,1,0,0,0,14,0,4,0.0
Andries Noppert,GK,Netherlands,28-252,1994,5.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Andrija Živković,DF,Serbia,26-157,1996,2.3,0,0,0,2,4,0,8,3,3,0,0,0,11,2,2,50.0
André Ayew,MF,Ghana,32-363,1989,2.2,1,0,0,2,6,1,0,0,1,0,0,0,6,3,13,18.8
André Onana,GK,Cameroon,26-257,1996,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
André Silva,FW,Portugal,27-039,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Andrés Guardado,MF,Mexico,36-078,1986,0.5,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,
Anis Ben Slimane,MF,Tunisia,21-274,2001,1.6,0,0,0,0,0,0,8,1,1,0,0,0,5,5,3,62.5
Ansu Fati,FW,Spain,20-045,2002,0.5,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100.0
Ante Budimir,FW,Croatia,31-146,1991,0.6,0,0,0,4,2,0,0,0,1,0,0,0,0,2,4,33.3
Anthony Contreras,FW,Costa Rica,22-320,2000,1.4,1,0,0,1,1,0,1,1,2,0,0,0,4,5,6,45.5
Antoine Griezmann,MF,France,31-269,1991,5.2,1,0,0,3,8,3,35,6,8,0,0,0,33,4,3,57.1
Antoine Semenyo,FW,Ghana,22-342,2000,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,20.0
Antonee Robinson,DF,United States,25-129,1997,4.0,0,0,0,2,0,1,21,7,4,0,0,0,40,5,3,62.5
Antonio Rüdiger,DF,Germany,29-287,1993,3.0,0,0,0,0,3,1,0,0,1,0,0,0,20,6,1,85.7
Antony,FW,Brazil,22-294,2000,1.9,0,0,0,2,5,0,10,1,0,0,0,0,12,1,2,33.3
António Silva,DF,Portugal,19-046,2003,1.0,0,0,0,2,0,0,0,1,1,0,0,0,4,2,4,33.3
Ao Tanaka,MF,Japan,24-096,1998,1.9,0,0,0,1,1,0,2,3,1,0,0,0,9,3,1,75.0
Ardon Jasari,FW,Switzerland,20-138,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Arkadiusz Milik,FW,Poland,28-290,1994,1.1,1,0,0,1,2,1,0,0,0,0,0,0,3,4,5,44.4
Artur Jędrzejczyk,DF,Poland,35-041,1987,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
